BA10, BA10 Driving while disqualified
PL26, PL26 Inciting PL20
PL30, PL30 Carrying a person not qualified
PL32, PL32 Aiding and abetting PL30
PL34, PL34 Causing or permitting PL30
PL36, PL36 Inciting PL30
PL40, PL40 Drawing an unauthorised trailer
PL42, PL42 Aiding and abetting PL40
PL44, PL44 Causing or permitting PL40
PL46, PL46 Inciting PL40
PL50, PL50 Disobeying conditions of a Provisional Licence
PL52, PL52 Aiding and abetting PL50
PL54, PL54 Causing or permitting PL50
PL56, PL56 Inciting PL50
SC19, SC19 Section 19 (Transport Act 1981) Disqualification
SC35, SC35 Section 35 (Transport Act 1981) Disqualification
SP10, SP10 Exceeding goods vehicle speed limit
SP12, SP12 Aiding and abetting SP10
SP14, SP14 Causing or permitting SP10
SP16, SP16 Inciting SP10
SP20, SP20 Exceeding speed limit for type of vehicle
SP22, SP22 Aiding and abetting SP20
SP24, SP24 Causing or permitting SP20
SP26, SP26 Inciting SP20
SP30, SP30 Exceeding statutory speed limit on a public road
SP32, SP32 Aiding and abetting SP30
SP34, SP34 Causing or permitting SP30
SP36, SP36 Inciting SP30
SP40, SP40 Exceeding passenger vehicle speed limit
SP42, SP42 Aiding and abetting SP40
SP44, SP44 Causing or permitting SP40
SP46, SP46 Inciting SP40
SP50, SP50 Exceeding speed limit on a motorway
SP52, SP52 Aiding and abetting SP50
SP54, SP54 Causing or permitting SP50
SP56, SP56 Inciting SP50
SP60, SP60 Undefined speed limit offence
SP62, SP62 Aiding and abetting SP60
SP64, SP64 Causing or permitting SP60
SP66, SP66 Inciting SP60
TS10, TS10 Failing to comply with traffic light signals
TS12, TS12 Aiding and abetting TS10
TS14, TS14 Causing or permitting TS10
TS16, TS16 Inciting TS10
TS20, TS20 Failing to comply with double white lines
TS22, TS22 Aiding and abetting TS20
TS24, TS24 Causing or permitting TS20
TS26, TS26 Inciting TS20
TS30, TS30 Failing to comply with a 'Stop' sign
TS32, TS32 Aiding and abetting TS30
TS34, TS34 Causing or permitting TS30
TS36, TS36 Inciting TS30
TS40, TS40 Failing to comply with directions of a Constable
TS42, TS42 Aiding and abetting TS40
TS44, TS44 Causing or permitting TS40
TS46, TS46 Inciting TS40
TS50, TS50 Failing to comply with a traffic sign
TS52, TS52 Aiding and abetting TS50
TS54, TS54 Causing or permitting TS50
TS56, TS56 Inciting TS50
TS60, TS60 Failing to comply with a School crossing sign
TS62, TS62 Aiding and abetting TS60
TS64, TS64 Causing or permitting TS60
TS66, TS66 Inciting TS60
TS70, TS70 Undefined failure to comply with a traffic sign
TS72, TS72 Aiding and abetting TS70
TS74, TS74 Causing or permitting TS70
TS76, TS76 Inciting TS70
UT10, UT10 Taking and driving away a vehicle without consent
UT12, UT12 Aiding and abetting UT10
UT14, UT14 Causing or permitting UT10
UT16, UT16 Inciting UT10
UT20, UT20 Stealing or attempting to steal a vehicle
UT22, UT22 Aiding and abetting UT20
UT24, UT24 Causing or permitting UT20
UT26, UT26 Inciting UT20
UT30, UT30 Going equipped for stealing or taking a vehicle
UT32, UT32 Aiding and abetting UT30
UT34, UT34 Causing or permitting UT30
UT36, UT36 Inciting UT30
UT40, UT40 Taking/attempting to take a vehicle without cons
UT42, UT42 Aiding and abetting UT40
UT44, UT44 Causing or permitting UT40
UT46, UT46 Inciting UT40
UT50, UT50 Aggravated Taking of a Vehicle
UT52, UT52 Aiding and abetting UT50
UT54, UT54 Causing or permitting UT50
UT56, UT56 Inciting UT50
